time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-08-13 09:00:00,292.16507,287.02966,291.2725,285.52444,290.38242,282.53873
2012-08-13 12:00:00,291.5045,286.87186,290.85074,285.75092,290.16904,282.35236
2012-08-13 15:00:00,291.28738,285.76822,290.8945,285.5789,290.71848,282.74927
2012-08-13 18:00:00,291.84512,285.2188,291.66287,285.16293,292.32812,284.38678
2012-08-13 21:00:00,292.8441,285.0384,292.885,285.2546,293.65576,284.58896
2012-08-14 00:00:00,294.6111,285.17218,293.78854,285.40823,293.2653,284.3369
2012-08-14 03:00:00,294.6453,286.2284,293.7333,285.62915,292.85684,282.93637
2012-08-14 06:00:00,293.8237,286.58694,293.03723,285.42673,292.29984,282.67136
2012-08-14 09:00:00,293.0702,286.38724,292.34204,285.5861,291.8895,282.62817
2012-08-14 12:00:00,290.97974,286.3133,291.68973,285.73636,291.42786,282.61752
2012-08-14 15:00:00,290.20505,285.6612,291.31055,285.55896,291.34738,283.01294
2012-08-14 18:00:00,291.36978,285.1612,292.0441,285.21234,292.29153,284.67276
2012-08-14 21:00:00,292.37302,285.07422,293.11792,285.3606,293.38904,284.89795
2012-08-15 00:00:00,293.40726,285.07886,293.79697,285.45023,293.475,284.8289
2012-08-15 03:00:00,294.1813,285.55557,293.9324,285.61792,293.12317,284.41995
2012-08-15 06:00:00,293.3575,286.38718,292.85226,285.88574,292.6169,283.17023
2012-08-15 09:00:00,293.1594,286.27655,292.34848,285.74408,292.45175,283.01462
2012-08-15 12:00:00,292.5601,286.33762,291.72974,285.6062,291.2946,283.02728
2012-08-15 15:00:00,292.36673,285.31494,291.54904,285.1588,291.42227,283.65106
2012-08-15 18:00:00,292.8002,285.05704,291.99988,285.23395,292.64276,284.92682
2012-08-15 21:00:00,293.70688,285.28656,293.06897,285.38016,292.75745,285.13608
2012-08-16 00:00:00,294.7421,285.5486,293.76764,285.3695,294.3788,285.0803
2012-08-16 03:00:00,295.2001,286.2351,294.31058,285.26132,294.03268,284.65625
2012-08-16 06:00:00,294.19214,286.32825,293.4724,285.27713,292.6932,283.76328
2012-08-16 09:00:00,293.29153,286.12778,292.54037,285.53143,291.77267,282.98447
2012-08-16 12:00:00,292.6143,286.2553,291.8772,285.69626,290.98877,282.97272
2012-08-16 15:00:00,292.21094,285.31674,291.80405,284.99805,291.15347,284.25433
